name,name_zh,overview,description,keywords
render-glow-outline,渲染-发光轮廓,发光轮廓定义形体。,"物体主要通过明亮的发光轮廓来传达，内部填充保持极简或暗色，支持抽象街机风格的可读性。","霓虹, 轮廓, 发光, 外形, 剪影"
render-wireframe-lines,渲染-线框线条,纯线条渲染风格。,"场景由笔触和折线构成而非填充形状，强调结构和运动而非纹理。","线描, 矢量, 折线, 笔触, 极简"
render-edge-emphasis,渲染-边缘强调,边缘强调优于面。,"角和外边缘获得更强的亮度或粗度，使几何体在简单填充下保持可读。","边缘, 角, 高亮, 几何, 清晰"
render-double-stroke,渲染-双轮廓线,双层轮廓结构。,"次级轮廓创建层级和分离感，无需引入新资源。","双重轮廓, 轮廓, 层级, 分离, 图形"
render-uniform-stroke,渲染-统一线条,统一线条粗细系统。,"所有线条共享一致的粗细，强化模块化构图和排版整合。","线条粗细, 统一, 图形系统, 矢量, 干净"
render-depth-stroke-variation,渲染-深度线条变化,线条随深度变化。,"线条粗细根据伪深度或层次微妙变化，在2D中暗示空间。","深度提示, 粗细, 层, 伪深度, 透视"
render-soft-bloom-outline,渲染-柔光轮廓,轮廓周围的柔和光晕。,"柔和的光晕包围笔触，营造模拟霓虹感而无需厚重纹理。","光晕, 发光, 霓虹, 柔边, 发光"
render-gradient-contour,渲染-渐变轮廓,沿轮廓的渐变。,"轮廓颜色沿路径渐变，无需表面细节即可增加丰富度。","渐变, 轮廓, 色彩偏移, 外形, 发光"
geometry-primitive-modularity,几何-图元模块化,从简单图元构建复杂。,"少量圆形、方形或三角形被复用构建所有视觉元素。","图元, 模块化, 重复, 简单形状, 图案"
geometry-regular-polygon-language,几何-正多边形语言,正多边形作为视觉语言。,"五边形、六边形等正则形式定义一致的几何身份。","多边形, 正则, 几何, 镶嵌, 对称"
geometry-grid-alignment,几何-网格对齐,网格对齐构图。,"视觉放置遵循隐含网格，产生清晰度和节奏感。","网格, 对齐, 布局, 结构, 利落"
geometry-scale-hierarchy,几何-尺度层级,通过尺度对比建立层级。,"大小形状共存，无需精细美术即可创造视觉强调。","尺度, 层级, 宏观, 微观, 对比"
geometry-radial-duplication,几何-径向复制,形式的径向复制。,"形状围绕中心重复，产生旋转对称和竞技场式构图。","径向, 旋转, 对称, 复制, 中心"
geometry-concentric-structure,几何-同心结构,同心环结构。,"嵌套的圆形形式定义区域和空间层级。","同心, 环, 轨道, 层, 竞技场"
geometry-layer-stacking,几何-层叠,分层几何平面。,"前景和背景形状在亮度或尺寸上不同以暗示深度。","层, 平面, 深度, 分离, 舞台"
geometry-diagonal-dominance,几何-对角线主导,对角线驱动构图。,"强对角线在极简场景中创造运动和张力。","对角线, 动态, 流动, 角度, 构图"
motionviz-velocity-hue-shift,运动可视化-速度色相偏移,色相随速度变化。,"颜色根据物体速度微妙偏移，无需额外美术即可可视化能量。","速度, 色相偏移, 能量, 运动, 反馈"
motionviz-rotation-reactive,运动可视化-旋转响应,对旋转的视觉响应。,"轮廓强度或次要效果响应角速度。","旋转, 角度, 反馈, 强度, 自转"
motionviz-impact-ripple,运动可视化-碰撞涟漪,碰撞涟漪可视化。,"碰撞发出扩散的圆形波纹，短暂勾勒空间。","碰撞, 涟漪, 冲击波, 环, 街机"
motionviz-afterimage-trail,运动可视化-残影拖尾,残影拖尾效果。,"淡影跟随运动物体，传达惯性和方向。","残影, 拖尾, 惯性, 幽灵, 运动"
motionviz-trajectory-trace,运动可视化-轨迹描绘,轨迹描绘。,"路径绘制为渐隐的弧线或线条，使运动模式可见。","轨迹, 弧, 描绘, 渐隐, 路径"
motionviz-elastic-deformation,运动可视化-弹性变形,弹性变形反馈。,"形状短暂扭曲并恢复，无需纹理即可可视化力。","变形, 弹性, 压扁, 拉伸, 反馈"
motionviz-energy-glow-build,运动可视化-能量光晕积累,光晕积累可视化。,"光晕强度逐渐增加，可视化地表现能量积累。","能量, 积累, 光晕, 充能, 强度"
background-noise-field,背景-噪声场,程序化噪声场背景。,"动态噪声或颗粒为极简前景元素提供微妙的深度和运动。","噪声, 颗粒, 程序化, 深度, 场"
background-wave-field,背景-波动场,波动背景运动。,"正弦或圆形波在背景中传播，暗示节奏和流动。","波, 正弦, 传播, 节奏, 流动"
background-fractal-motif,背景-分形主题,分形灵感重复。,"递归图案使用简单算法规则生成丰富度。","分形, 递归, 图案, 程序化, 主题"
background-flow-lines,背景-流线,流线矢量场。,"流线图案暗示环境中不可见的流动。","流线, 矢量场, 水流, 运动, 场"
background-particle-layer,背景-粒子层,稀疏粒子层。,"漂浮粒子增添尺度和氛围，同时保持抽象感。","粒子, 漂移, 氛围, 空间, 深度"
background-distorted-grid,背景-扭曲网格,扭曲网格背景。,"网格微妙弯曲或波纹，暗示抽象空间中的曲率。","网格, 扭曲, 翘曲, 曲率, 科幻"
background-moire-pattern,背景-莫尔纹理,莫尔干涉纹理。,"重叠线条组产生动态干涉图案。","莫尔, 干涉, 图案, 线条, 相位"
background-cellular-evolution,背景-细胞演化,细胞图案演化。,"块状或有机细胞结构在背景中缓慢演化。","细胞, 自动机, 演化, 图案, 程序化"
lighting-rim-band,光照-边缘光带,形状周围的边缘光带。,"边缘的明亮光带增强平面填充的体积感。","边缘光, 光带, 体积, 剪影, 发光"
lighting-depth-fade,光照-深度衰减,基于深度的亮度衰减。,"亮度或饱和度随隐含的距离层递减。","深度衰减, 大气, 层, 距离, 提示"
lighting-layered-fog,光照-分层雾气,分层雾气渐变。,"柔和雾带分隔空间层，无需精细资源。","雾, 渐变, 层, 氛围, 深度"
lighting-additive-glow,光照-叠加发光,叠加发光合成。,"光晕以叠加方式合成，在简单场景中创造强度峰值。","叠加, 发光, 合成, 光晕, 光"
lighting-vignette-frame,光照-暗角框定,微妙的暗角框定。,"边缘变暗或框定形状将注意力集中在极简构图中。","暗角, 框定, 聚焦, 构图, 边缘"
analog-micro-jitter,模拟-微抖动,微位置抖动。,"每帧微小偏移产生微妙的模拟振动。","抖动, 模拟, 振动, 微小, 运动"
analog-subpixel-shimmer,模拟-亚像素闪烁,亚像素闪烁效果。,"分数像素运动在矢量风格场景中产生细腻闪烁。","亚像素, 闪烁, 微动, 闪光, 微妙"
analog-line-noise-warp,模拟-线条噪声扭曲,噪声扭曲线条路径。,"笔触路径被噪声轻微扰动，避免 sterile 几何感。","扭曲, 噪声, 线条, 有机, 变形"
analog-chromatic-offset,模拟-色差偏移,轻微色差分离。,"明亮边缘上的微小RGB偏移轻柔唤起镜头瑕疵感。","色差, RGB分离, 镜头, 霓虹, 偏移"
analog-luminance-pulse,模拟-亮度脉动,低频亮度脉动。,"整体亮度缓慢振荡，为静态极简视觉增添生命力。","亮度, 脉动, 呼吸, 环境光, 微妙"
analog-frame-blend,模拟-帧混合残影,帧混合残影。,"帧之间的微妙混合产生柔和拖尾效果。","残影, 混合, 拖影, 运动, 余像"
typography-objectification,排版-文字实体化,文字作为世界物体。,"字母和数字在游戏场地中作为几何实体发挥作用。","排版, 字形, 字母, 数字, 抽象"
typography-pattern-field,排版-字形图案场,基于字形的图案场。,"重复字形形成边框或纹理，同时保持可读性。","字形, 图案, 重复, 符号, 纹理"
typography-weight-hierarchy,排版-字重层级,通过字体粗细建立层级。,"粗体和细体在视觉上构建屏幕结构。","粗体, 粗细, 层级, 布局, 清晰"
typography-numeric-focus,排版-数字焦点,以数字为中心的构图。,"数字作为结构元素主导视觉场。","数字, 分数, 计时器, 街机, UI"
typography-kinetic-motion,排版-动态运动,动态排版整合。,"文字旋转、缩放或漂移，作为视觉运动语言的一部分。","动态文字, 运动, 旋转, 缩放, 动画"
typography-geometry-blend,排版-几何融合,文字与几何的融合。,"字形轮廓与几何图元融合形成统一形状。","融合, 字形, 几何, 遮罩, 轮廓"
composition-negative-space,构图-负空间,负空间主导布局。,"大面积空白区域被刻意保留以增强焦点和对比。","负空间, 极简, 清晰, 聚焦, 布局"
composition-centered-stage,构图-居中舞台,居中舞台构图。,"干净的中央区域锚定视觉体验。","居中, 舞台, 边距, 平衡, 清晰"
composition-asymmetric-void,构图-不对称虚空,不对称虚空结构。,"空白空间不均匀分布以创造张力。","不对称, 虚空, 张力, 构图, 现代"
composition-density-gradient,构图-密度渐变,密度渐变布局。,"视觉密度从稀疏区域过渡到密集区域。","密度, 渐变, 层级, 流动, 强调"
composition-microdetail-island,构图-细节岛,微观细节焦点岛。,"小区域包含精细细节，位于 otherwise 简洁的场地中。","微观细节, 焦点, 对比, 克制, 细节"
composition-zoned-structure,构图-分区结构,分段区域布局。,"屏幕通过间距或微妙色调变化分为视觉上不同的区域。","区域, 分段, 布局, 面板, 结构"
